kat_uzemi,upper_zoning_id,parcel_number,gml_id,areaValue_m2,beginLifespanVersion,endLifespanVersion,geometry,inspire_localId,inspire_namespace,label,nationalCadastralReference,refPoint_x,refPoint_y,refPoint_lon,refPoint_lat,validFrom,administrativeUnit_href,administrativeUnit_title,zoning_href,zoning_title,id_valuo
Krč,727598,2216/2,CP.2218039101,611.0,2021-04-29T09:06:20Z,,-741273.42 -1049035.21 -741274.31 -1049030.98 -741272.91 -1049016.04 -741274.15 -1049014.42 -741275.4 -1049010.5 -741277.75 -1049010.37 -741279.75 -1049012.47 -741285.02 -1049011.1 -741285.7 -1049011.12 -741296.11 -1049011.5 -741303.17 -1049011.75 -741293.64 -1049036.34 -741288.68 -1049036.58 -741288.68 -1049036.88 -741277.38 -1049035.7 -741273.42 -1049035.21,CP.2218039101,CZ-00025712-CUZK_CP,2216/2,727598-2216/2,-741290.05,-1049024.36,14.45370854622761,50.035777519679094,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.554782,Krč,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.727598,Praha,41
Krč,727598,2869/104,CP.2218977101,246.0,2014-11-24T11:26:36Z,,-741556.73 -1050652.16 -741555.33 -1050641.08 -741564.28 -1050640.01 -741563.98 -1050637.53 -741566.62 -1050637.21 -741566.77 -1050638.47 -741567.16 -1050638.42 -741567.3 -1050639.64 -741573.37 -1050638.91 -741574.69 -1050650 -741574.83 -1050651.22 -741568.74 -1050651.96 -741569.29 -1050656.52 -741566.29 -1050656.88 -741565.74 -1050652.32 -741556.88 -1050653.38 -741556.73 -1050652.16,CP.2218977101,CZ-00025712-CUZK_CP,2869/104,727598-2869/104,-741570.22,-1050647.82,14.452913828859257,50.02097364571577,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.554782,Krč,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.727598,Praha,46
Krč,727598,2869/105,CP.2218978101,247.0,2014-11-24T11:26:36Z,,-741538.69 -1050654.34 -741537.33 -1050643.25 -741543.38 -1050642.52 -741543.22 -1050641.18 -741543.62 -1050641.13 -741543.47 -1050639.94 -741546.12 -1050639.63 -741546.43 -1050642.15 -741555.33 -1050641.08 -741556.73 -1050652.16 -741556.88 -1050653.38 -741547.96 -1050654.46 -741548.52 -1050659.03 -741545.45 -1050659.4 -741544.89 -1050654.83 -741538.84 -1050655.55 -741538.69 -1050654.34,CP.2218978101,CZ-00025712-CUZK_CP,2869/105,727598-2869/105,-741551.62,-1050649.33,14.453173851509078,50.02098292343581,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.554782,Krč,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.727598,Praha,47
Krč,727598,2869/103,CP.2218976101,244.0,2014-11-24T11:26:36Z,,-741574.69 -1050650 -741573.37 -1050638.91 -741579.34 -1050638.19 -741579.17 -1050636.81 -741579.55 -1050636.76 -741579.42 -1050635.67 -741582.09 -1050635.35 -741582.39 -1050637.83 -741591.17 -1050636.77 -741592.52 -1050647.86 -741592.67 -1050649.08 -741583.9 -1050650.13 -741584.44 -1050654.69 -741581.44 -1050655.05 -741580.9 -1050650.49 -741574.83 -1050651.22 -741574.69 -1050650,CP.2218976101,CZ-00025712-CUZK_CP,2869/103,727598-2869/103,-741586.65,-1050645.66,14.452682575309089,50.02097280927725,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.554782,Krč,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.727598,Praha,48
Krč,727598,2869/106,CP.2218979101,246.0,2014-11-24T11:26:36Z,,-741519.82 -1050649.2 -741519.36 -1050645.41 -741528.23 -1050644.34 -741527.93 -1050641.86 -741530.75 -1050641.53 -741530.9 -1050642.73 -741531.21 -1050642.7 -741531.37 -1050643.97 -741537.33 -1050643.25 -741538.69 -1050654.34 -741538.84 -1050655.55 -741532.75 -1050656.29 -741533.31 -1050660.86 -741530.34 -1050661.22 -741529.77 -1050656.65 -741520.85 -1050657.72 -741520.7 -1050656.5 -741519.82 -1050649.2,CP.2218979101,CZ-00025712-CUZK_CP,2869/106,727598-2869/106,-741533.46,-1050651.75,14.453429516763723,50.020983556778916,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.554782,Krč,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.727598,Praha,49
Říčany-Radošovice,745511,69/26,CP.3240971209,319.0,2024-10-23T09:26:20Z,,-726827.13 -1055145.03 -726826.14 -1055145.71 -726811.36 -1055155.76 -726802.29 -1055161.88 -726791.71 -1055169.01 -726785.21 -1055173.39 -726764.05 -1055187.58 -726761.06 -1055185.05 -726778.06 -1055171.98 -726815.01 -1055148.43 -726821.18 -1055146.73 -726827.13 -1055145.03,CP.3240971209,CZ-00025712-CUZK_CP,69/26,745511-69/26,-726793.07,-1055165.12,14.665687796468378,49.998596816660736,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.538728,Říčany-Radošovice,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.745511,Říčany,55
Říčany-Radošovice,745511,92/13,CP.3074644209,839.0,2011-08-27T17:40:41Z,,-726177.55 -1054918.96 -726211.92 -1054931.2 -726210.7 -1054934.66 -726204.68 -1054951.75 -726203.81 -1054954.26 -726203.01 -1054956.54 -726168.84 -1054943.93 -726170.37 -1054939.54 -726177.55 -1054918.96,CP.3074644209,CZ-00025712-CUZK_CP,92/13,745511-92/13,-726199.24,-1054939.49,14.673478833489586,50.00131783720124,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.538728,Říčany-Radošovice,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.745511,Říčany,57
Říčany-Radošovice,745511,561/6,CP.3075073209,558.0,2011-08-27T17:40:56Z,,-725399.15 -1054617.86 -725401.35 -1054620.13 -725424.03 -1054643.52 -725412.11 -1054654.25 -725388.19 -1054629.01 -725399.15 -1054617.86,CP.3075073209,CZ-00025712-CUZK_CP,561/6,745511-561/6,-725407.68,-1054638.09,14.68386425956186,50.0049497846727,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.538728,Říčany-Radošovice,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.745511,Říčany,58
Semčice,747165,170/61,CP.48554253010,21.0,2024-10-03T05:06:20Z,,-697290.39 -1017782.8 -697290.32 -1017773.15 -697291.27 -1017760.79 -697293.79 -1017760.09 -697290.39 -1017782.8,CP.48554253010,CZ-00025712-CUZK_CP,170/61,747165-170/61,-697293.11,-1017763.95,15.006681031015333,50.36667537919376,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.536610,Semčice,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.747165,Semčice,59
Semčice,747165,393/2,CP.49569758010,68.0,2024-10-03T05:06:20Z,,-696689.43 -1016865.47 -696707.2 -1016872.22 -696745.92 -1016889.11 -696689.49 -1016867.99 -696689.43 -1016865.47,CP.49569758010,CZ-00025712-CUZK_CP,393/2,747165-393/2,-696703.06,-1016872.85,15.013296662905768,50.375301938282,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.536610,Semčice,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.747165,Semčice,60
Ctiměřice,618055,770,CP.2229810207,8680.0,2015-08-04T20:09:00Z,,-697527.95 -1016224.13 -697525.56 -1016200.2 -697521.17 -1016181.5 -697656.93 -1016115.3 -697661.96 -1016127.8 -697652.51 -1016134.57 -697649.47 -1016136.76 -697661.86 -1016138.12 -697674.71 -1016144.52 -697677.8 -1016147.08 -697627.17 -1016224.55 -697611.56 -1016202.85 -697602.05 -1016189.75 -697582.35 -1016202.38 -697563.98 -1016221.62 -697553.4 -1016223.06 -697527.95 -1016224.13,CP.2229810207,CZ-00025712-CUZK_CP,770,618055-770,-697617.01,-1016166.14,14.99927672288502,50.38054630692062,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.570991,Ctiměřice,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.618055,Ctiměřice,61
Semčice,747165,461/2,CP.49569819010,4229.0,2024-10-30T07:16:20Z,,-696897.6 -1016251.67 -696864 -1016154.01 -696900.43 -1016136.21 -696934.45 -1016231.23 -696897.6 -1016251.67,CP.49569819010,CZ-00025712-CUZK_CP,461/2,747165-461/2,-696899.56,-1016193.12,15.009328955947556,50.38113520748323,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.536610,Semčice,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.747165,Semčice,62
Těptín,662500,263/2,CP.3142599209,554.0,2015-12-08T23:00:22Z,,-736442.53 -1065416.38 -736441.7 -1065418.86 -736414.08 -1065405.29 -736404.08 -1065402.12 -736407.25 -1065390.08 -736447.31 -1065402.05 -736442.53 -1065416.38,CP.3142599209,CZ-00025712-CUZK_CP,263/2,662500-263/2,-736427.68,-1065403.43,14.551742724975727,49.89577343171583,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.538299,Těptín,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.662500,Kamenice,63
Těptín,662500,516/3,CP.3143106209,450.0,2024-02-14T11:26:21Z,,-735008.29 -1066083.56 -734995.88 -1066085.19 -734965.5 -1066091.3 -734916.87 -1066090.5 -734866.44 -1066081.96 -734868.06 -1066078.09 -734915.97 -1066088.29 -734934.6 -1066088.67 -734946.6 -1066088.21 -734962.84 -1066087.82 -734975.01 -1066084.54 -735007.27 -1066078.67 -735008.29 -1066083.56,CP.3143106209,CZ-00025712-CUZK_CP,516/3,662500-516/3,-734971.39,-1066089.47,14.57311190812357,49.89142157741941,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.538299,Těptín,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.662500,Kamenice,64
Těptín,662500,619/1,CP.3143301209,8581.0,2024-02-14T13:16:20Z,,-733880.83 -1064913.37 -733880.83 -1064913.79 -733883.66 -1064913.78 -733883.71 -1064920.26 -733883.09 -1064920.28 -733883.11 -1064923.13 -733884.93 -1064923.09 -733884.98 -1064929.31 -733883.78 -1064929.32 -733883.85 -1064938.36 -733881.98 -1064938.37 -733881.99 -1064941.61 -733883.87 -1064941.6 -733883.92 -1064948.96 -733890.33 -1064948.92 -733890.34 -1064947.69 -733896.97 -1064947.64 -733896.89 -1064941.23 -733895.73 -1064941.23 -733895.69 -1064935.62 -733896.86 -1064935.62 -733896.76 -1064913.71 -733897.26 -1064913.7 -733897.26 -1064912.56 -733902 -1064912.33 -733901.42 -1064905.23 -733901.14 -1064901.73 -733900.83 -1064895.22 -733900.51 -1064894.04 -733899.64 -1064883.33 -733912.71 -1064883.23 -733928.91 -1064883.13 -733989.48 -1064882.62 -733991.18 -1064882.6 -733991.19 -1064885.05 -733995.33 -1064884.99 -734020.56 -1064884.51 -734022.73 -1064884.55 -734020.42 -1064898.95 -734020.42 -1064900.05 -734022.83 -1064910.35 -734022.88 -1064945.17 -734023.26 -1064966.08 -734017.98 -1064966.17 -734017.84 -1064952.07 -733998.82 -1064952.4 -733998.96 -1064964.57 -733998.5 -1064965.53 -733997.41 -1064966.11 -733992.2 -1064966.02 -733952.49 -1064966.66 -733948.66 -1064966.72 -733918.09 -1064967.07 -733914.21 -1064967.05 -733906.2 -1064967.15 -733887.5 -1064967.38 -733881.92 -1064967.44 -733863.3 -1064917.64 -733862.05 -1064914.3 -733880.83 -1064913.37,CP.3143301209,CZ-00025712-CUZK_CP,619/1,662500-619/1,-733966.95,-1064929.32,14.584798842348112,49.90297101525152,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.538299,Těptín,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.662500,Kamenice,66
Těptín,662500,725/28,CP.3143883209,1008.0,2022-12-16T09:16:20Z,,-734298.1 -1064367.81 -734312.58 -1064355.57 -734323.04 -1064344.63 -734332.43 -1064367.15 -734349.66 -1064408.78 -734345.7 -1064410.45 -734331.74 -1064376.73 -734306.23 -1064387.46 -734298.1 -1064367.81,CP.3143883209,CZ-00025712-CUZK_CP,725/28,662500-725/28,-734320.56,-1064371.21,14.57887773089621,49.90751715152267,,http://services.cuzk.cz/wfs/inspire-au-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=AU.538299,Těptín,http://services.cuzk.cz/wfs/inspire-cp-wfs.asp?service=WFS&VERSION=2.0.0&request=GetFeature&storedQuery_id=urn:ogc:def:query:OGC-WFS::GetFeatureById&Id=CZ.662500,Kamenice,67
